t, v
-0.009325, 2.088818
-0.009327, 2.088818
-0.009329, 2.111914
-0.009330, 2.111914
-0.009332, 2.065723
-0.009334, 2.065723
-0.009335, 2.088818
-0.009337, 2.088818
-0.009338, 2.088818
-0.009340, 2.065723
-0.009342, 2.065723
-0.009343, 2.065723
-0.009345, 2.065723
-0.009347, 2.065723
-0.009348, 2.042627
-0.009350, 2.042627
-0.009352, 2.042627
-0.009353, 2.042627
-0.009355, 2.042627
-0.009357, 2.019531
-0.009358, 2.042627
-0.009360, 2.042627
-0.009361, 2.042627
-0.009363, 2.042627
-0.009365, 2.042627
-0.009366, 2.042627
-0.009368, 2.042627
-0.009370, 2.019531
-0.009371, 2.019531
-0.009373, 2.019531
-0.009375, 2.042627
-0.009376, 2.042627
-0.009378, 1.996436
-0.009379, 1.996436
-0.009381, 1.996436
-0.009383, 2.019531
-0.009384, 2.019531
-0.009386, 1.996436
-0.009388, 1.973340
-0.009389, 1.973340
-0.009391, 1.996436
-0.009393, 1.996436
-0.009394, 1.950244
-0.009396, 1.950244
-0.009398, 1.950244
-0.009399, 1.950244
-0.009401, 1.904053
-0.009402, 1.904053
-0.009404, 1.927148
-0.009406, 1.927148
-0.009407, 1.904053
-0.009409, 1.880957
-0.009411, 1.880957
-0.009412, 1.880957
-0.009414, 1.880957
-0.009416, 1.857861
-0.009417, 1.880957
-0.009419, 1.880957
-0.009421, 1.880957
-0.009422, 1.811670
-0.009424, 1.811670
-0.009425, 1.834766
-0.009427, 1.834766
-0.009429, 1.834766
-0.009430, 1.834766
-0.009432, 1.834766
-0.009434, 1.765479
-0.009435, 1.765479
-0.009437, 1.811670
-0.009439, 1.811670
-0.009440, 1.811670
-0.009442, 1.742383
-0.009444, 1.742383
-0.009445, 1.765479
-0.009447, 1.811670
-0.009448, 1.811670
-0.009450, 1.719287
-0.009452, 1.719287
-0.009453, 1.719287
-0.009455, 1.765479
-0.009457, 1.765479
-0.009458, 1.673096
-0.009460, 1.650000
-0.009462, 1.650000
-0.009463, 1.696191
-0.009465, 1.696191
-0.009467, 1.650000
-0.009468, 1.603809
-0.009470, 1.603809
-0.009471, 1.603809
-0.009473, 1.603809
-0.009475, 1.603809
-0.009476, 1.557617
-0.009478, 1.557617
